ประเทศ,สกุลเงิน,อัตราซื้อถัวเฉลี่ย ตั๋วเงิน,อัตราซื้อถัวเฉลี่ย เงินโอน,อัตราขายถัวเฉลี่ย
สหรัฐอเมริกา,USD,32.9345,33.0267,33.3568
สหราชอาณาจักร,GBP,44.5367,44.6972,45.5876
ยูโรโซน,EUR,37.1105,37.2159,37.9678
ญี่ปุ่น (ต่อ 100 เยน),JPY,28.5095,28.6075,29.3404
ฮ่องกง,HKD,4.2006,4.2185,4.3059
มาเลเซีย,MYR,7.7761,7.8140,8.0248
สิงคโปร์,SGD,24.2165,24.2950,24.8760
บรูไนดารุสซาลาม,BND,24.1100,24.2000,24.9625
ฟิลิปปินส์,PHP,0.6275,0.6323,0.6583
อินโดนีเซีย (ต่อ 1000 รูเปีย),IDR,2.1640,2.2214,2.4082
อินเดีย,INR,0.4067,0.4240,0.4659
สวิตเซอร์แลนด์,CHF,35.7445,35.8506,36.5535
ออสเตรเลีย,AUD,23.3681,23.4426,24.2670
นิวซีแลนด์,NZD,22.1074,22.1795,22.8081
แคนาดา,CAD,26.1800,26.2604,26.8238
สวีเดน,SEK,3.5741,3.5915,3.6684
เดนมาร์ก,DKK,4.9867,5.0043,5.1014
นอร์เวย์,NOK,3.7113,3.7248,3.8087
จีน,CNY,5.1240,5.1588,5.3039
